id,timestamp,brake_temp,brake_pressure,brake_wear
1,2025-11-28T06:11:28,26.5,0,12.5
2,2025-11-28T06:11:33,29,0,12.5
3,2025-11-28T06:11:38,26,0,12.5
4,2025-11-28T06:11:43,35,0,12.5
5,2025-11-28T06:11:48,32.5,0,12.5
6,2025-11-28T06:11:53,33.1,0,12.5
7,2025-11-28T06:11:58,142,64.2,12.52
8,2025-11-28T06:12:03,34.8,0,12.52
9,2025-11-28T06:12:08,182.7,84.2,12.53
10,2025-11-28T06:12:13,,0,12.53
11,2025-11-28T06:12:18,28.3,0,12.53
12,2025-11-28T06:12:23,147.6,64.3,12.55
13,2025-11-28T06:12:28,32,0,12.55
14,2025-11-28T06:12:33,25.1,0,12.55
15,2025-11-28T06:12:38,27,0,12.55
16,2025-11-28T06:12:43,32.9,0,12.55
17,2025-11-28T06:12:48,25.4,0,12.55
18,2025-11-28T06:12:53,27.8,0,12.55
19,2025-11-28T06:12:58,29.9,0,12.55
20,2025-11-28T06:13:03,226.8,109.1,12.57
21,2025-11-28T06:13:08,26.7,0,12.57
22,2025-11-28T06:13:13,30.3,0,12.57
23,2025-11-28T06:13:18,126.9,53.4,12.58
24,2025-11-28T06:13:23,139.8,62,12.6
25,2025-11-28T06:13:28,140.4,63.3,12.61
26,2025-11-28T06:13:33,174.7,79.5,12.63
27,2025-11-28T06:13:38,29.6,0,12.63
28,2025-11-28T06:13:43,240.1,118.9,12.65
29,2025-11-28T06:13:48,169.6,76.4,12.67
30,2025-11-28T06:13:53,29.5,0,12.67
