id,timestamp,vib_x_fft,vib_y_fft,vib_z_fft,freq_bin,label
1,2025-11-28T04:11:28,9.11,5.59,4.75,100,normal
2,2025-11-28T04:11:29,12.44,6.72,4.47,150,normal
3,2025-11-28T04:11:30,6.43,7.13,2.62,200,normal
4,2025-11-28T04:11:31,8.46,8.06,4.50,50,normal
5,2025-11-28T04:11:32,8.88,6.04,5.46,100,normal
6,2025-11-28T04:11:33,13.45,7.61,5.75,150,normal
7,2025-11-28T04:11:34,11.62,11.62,5.52,200,normal
8,2025-11-28T04:11:35,5.64,9.84,4.41,50,normal
9,2025-11-28T04:11:36,10.44,11.47,3.97,100,normal
10,2025-11-28T04:11:37,6.34,9.94,3.98,150,normal
11,2025-11-28T04:11:38,6.88,5.05,3.89,200,normal
12,2025-11-28T04:11:39,9.40,10.72,2.90,50,normal
13,2025-11-28T04:11:40,14.55,12.03,5.45,100,normal
14,2025-11-28T04:11:41,14.02,5.32,4.91,150,normal
15,2025-11-28T04:11:42,14.98,11.84,4.87,200,normal
16,2025-11-28T04:11:43,5.02,8.19,2.83,50,normal
17,2025-11-28T04:11:44,5.46,6.36,4.44,100,normal
18,2025-11-28T04:11:45,6.07,5.85,3.30,150,normal
19,2025-11-28T04:11:46,10.53,6.88,2.34,200,normal
20,2025-11-28T04:11:47,8.66,5.95,5.29,50,normal
21,2025-11-28T04:11:48,54.34,17.82,8.32,100,faulty_bearing
22,2025-11-28T04:11:49,68.29,19.75,5.74,150,faulty_bearing
23,2025-11-28T04:11:50,78.61,15.71,5.65,200,faulty_bearing
24,2025-11-28T04:11:51,52.32,11.39,7.90,50,faulty_bearing
25,2025-11-28T04:11:52,64.81,19.25,8.08,100,faulty_bearing
26,2025-11-28T04:11:53,53.46,12.67,6.17,150,faulty_bearing
27,2025-11-28T04:11:54,51.25,15.89,5.20,200,faulty_bearing
28,2025-11-28T04:11:55,72.37,14.07,5.49,50,faulty_bearing
29,2025-11-28T04:11:56,48.24,10.97,8.92,100,faulty_bearing
30,2025-11-28T04:11:57,54.66,17.75,7.06,150,faulty_bearing
